t_s,x0_m,x1_m,x2_m,v0_m_per_s,v1_m_per_s,v2_m_per_s
0.000222,6.014746669246503e-09,3.052367866255837e-11,1.9485255985279887e-14,0.00010800366785013819,7.992522932908164e-07,5.967892194688849e-10
0.000224,6.23367045293982e-09,3.21573628022851e-11,2.0710541891969605e-14,0.00011092980927696588,8.346612576572144e-07,6.287566813254411e-10
0.000226,6.4584983545437e-09,3.386309828504234e-11,2.2001164446881224e-14,0.00011390786778114161,8.713095906254044e-07,6.621349717980955e-10
0.00022799999999999999,6.6893346454580194e-09,3.564339577109489e-11,2.3359994253078192e-14,0.00011693828048937893,9.09229315485583e-07,6.9697327192273e-10
0.00022999999999999998,6.926284470702977e-09,3.750083050311303e-11,2.4790001536667164e-14,0.00012002148389451755,9.484529921148198e-07,7.333220276411063e-10
0.000232,7.169453847647259e-09,3.9438043383405106e-11,2.6294258697642563e-14,0.00012315791385144535,9.89013721033522e-07,7.712329708631286e-10
0.000234,7.4189496647280755e-09,4.1457742059250495e-11,2.7875942903012583e-14,0.0001263480055730329,1.0309451474493668e-06,8.107591406859084e-10
0.000236,7.67487968016306e-09,4.356270201630783e-11,2.9538338722519693e-14,0.00012959219362608022,1.074281465288624e-06,8.519549047691027e-10
0.00023799999999999998,7.937352520654096e-09,4.57557676800732e-11,3.128484080726766e-14,0.00013289091192727638,1.1190574212147678e-06,8.948759808659951e-10
0.00023999999999999998,8.206477680083062e-09,4.8039853525362804e-11,3.311895661156604e-14,0.00013624459373917135,1.1653083186343188e-06,9.395794585097829e-10
0.000242,8.482365518199527e-09,5.041794519379441e-11,3.504430915830198e-14,0.00013965367166616095,1.213070021689812e-06,9.861238208545332e-10
0.000244,8.765127259300453e-09,5.289310061924188e-11,3.706463984814825e-14,0.0001431185776504842,1.2623789592398414e-06,1.0345689666702664e-09
0.00024599999999999996,9.054874990901872e-09,5.546845116123675e-11,3.9183811312915024e-14,0.00014663974296823384,1.3132721288260633e-06,1.0849762324916228e-09
